site_name	latitude_deg_n	longitude_deg_e	radius_in_deg	facecolor	edgecolor
Al Lith 3	19.8608333	40.22815	0.5	red	black
Al Lith 2	19.8984667	40.1513333	0.05	red	black
Al Lith 1	19.9553833	40.1542833	0.05	red	black
Al Lith 6	20.1230333	40.2116167	0.05	cyan	black
Al Lith 4	20.1406667	40.0930333	0.05	cyan	black
Al Lith 5	20.1732667	40.1613167	0.05	cyan	black
La Plage	21.7091667	39.0831667	0.05	cyan	black
Abu Madafi	22.0772217	38.7744167	0.05	cyan	black
Al-Mashpah	22.1118833	38.8411167	0.05	cyan	black
Um Alkthal	22.16525	38.9390833	0.05	cyan	black
Shaab	22.2020333	38.99995	0.05	red	black
Inner Fsar	22.2329	39.0295667	0.05	red	black
Al Fahal	22.2517167	38.9564333	0.05	red	black
Tahlah	22.2747833	39.0496667	0.05	red	black
Shi’b Nazar	22.3417667	38.8519667	0.05	red	black
Qita al Kirsh	22.4257	38.9957333	0.05	red	black
Yanbu 3	23.789051	37.939298	0.05	red	black
Yanbu 2	23.820707	37.934985	0.05	red	black
Yanbu 1	23.866404	37.891307	0.05	red	black
Yanbu 5	24.018868	37.966628	0.05	red	black
Yanbu 4	24.136176	37.939575	0.05	red	black
Yanbu 6	24.145179	37.914923	0.05	red	black
